ticker,snapshot_date,market_cap,beta,open_price,high,low,close_price,adjusted_close,volume,ema_50d,ema_200d,hi_250d,lo_250d,avgvol_14d,avgvol_50d,avgvol_200d
ANG,2025-05-05,233939808,0.373,0.415,0.425,0.4,0.4,0.4,1087390,0.436,0.471,0.645,0.389,1041600.0,1352720.0,1419950.0
ANG,2025-05-06,233939808,0.373,0.405,0.405,0.39,0.4,0.4,511213,0.434,0.471,0.645,0.389,921317.0,1334620.0,1412150.0
ANG,2025-05-07,233939808,0.373,0.405,0.405,0.395,0.4,0.4,519872,0.433,0.47,0.645,0.389,870217.0,1318130.0,1412600.0
ANG,2025-05-08,233939808,0.373,0.4,0.4,0.38,0.385,0.385,5212603,0.431,0.469,0.645,0.385,1146830.0,1387180.0,1423670.0
ANG,2025-05-09,233939808,0.373,0.39,0.39,0.36,0.38,0.38,2660346,0.429,0.481,0.645,0.38,1292280.0,1423990.0,1433340.0
ASB,2025-05-05,2489173760,0.665,5.11,5.23,5.055,5.12,5.12,2016462,4.453,3.529,5.31,2.1,2395940.0,2557910.0,1325200.0
ASB,2025-05-06,2489173760,0.665,5.11,5.19,5.08,5.13,5.13,1844947,4.48,3.545,5.31,2.1,2186670.0,2573970.0,1332570.0
ASB,2025-05-07,2489173760,0.665,5.17,5.17,4.99,5.08,5.08,989007,4.503,3.561,5.31,2.1,2056350.0,2520970.0,1336130.0
ASB,2025-05-08,2489173760,0.665,5.14,5.28,5.08,5.21,5.21,1787453,4.531,3.577,5.31,2.1,1874300.0,2522990.0,1343990.0
ASB,2025-05-09,2489173760,0.665,5.2,5.28,5.17,5.23,5.23,1092190,4.558,3.571,5.31,2.1,1694340.0,2493390.0,1347910.0
BMH,2025-05-05,1792725,0.238,0.0333,0.0333,0.0333,0.0333,0.0333,0,0.043,0.066,0.085,0.032,6605.93,2948.44,737.74
