document_id,shareholder_name,event_date,present_votes,present_power,number_of_securities,ticker,event_type,previous_votes,previous_power,present_votes_affected,number_of_securities_affected
2024122702899055,VANGUARD GROUP,2024-12-27,6037462.0,6.114,,MND,change,4850964.0,5.035,,
2024122702899059,VANGUARD GROUP,2024-12-27,47669725.0,5.466,47669725.0,DRO,new,,,,
2024123002899302,VANGUARD GROUP,2024-12-30,51408461.0,6.009,,VNT,change,42846863.0,5.008,,
2024123002899523,REGAL FUNDS MANAGEMENT PTY LTD AND ITS ASSOCIATES,2024-12-30,29638913.0,5.51,29638913.0,AL3,new,,,,
2024123002899557,STATE STREET CORPORATION AND SUBSIDIARIES,2024-12-30,55373940.0,6.47,,VNT,change,46172857.0,5.4,,
2025010802901574,LONDON CITY EQUITIES LIMITED,2025-01-08,3991083.0,13.76,,ECL,change,3699480.0,12.76,,
2025011402903100,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 7 TO THIS FORM,2025-01-14,44086785.0,5.06,44086785.0,DRO,new,,,,
2025011602903775,CHALLENGER LIMITED,2025-01-16,35704882.0,9.38,,EGL,change,29658532.0,7.79,,
2025011602903774,GREENCAPE CAPITAL PTY LTD,2025-01-16,35704882.0,9.38,,EGL,change,29658532.0,7.79,,
2025011702904131,PERENNIAL VALUE MANAGEMENT LIMITED (PVM),2025-01-17,26251524.0,835.0,,ACF,change,25467210.0,957.0,,
2025012202905107,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 6 TO THIS FORM,2025-01-22,46546983.0,5.44,,VNT,change,55373940.0,6.47,,
2025012302905549,STATE STREET CORPORATION,2025-01-23,27710280.0,6.06,,NWH,change,22950074.0,5.02,,
2025012802906411,AUSTRALIANSUPER PTY LTD,2025-01-28,14418130.0,5.12,14418130.0,JLG,new,,,,
2025012802906369,MA FINANCIAL GROUP LIMITED,2025-01-28,10276024.0,9.91,,IPG,change,8852984.0,8.54,,
2025020302909052,COPIA INVESTMENT PARTNERS LTD,2025-02-03,19805000.0,5.45,,ASB,change,23642947.0,6.52,,
2025020702910808,MA FINANCIAL GROUP LIMITED,2025-02-07,23556113.0,8.22,,AAL,change,19056491.0,6.65,,
2025021202912129,DESMOND BRYANT,2025-02-12,24316811.0,19.7,,SND,change,24316811.0,23.3,,
2025021802914166,INDUSTRY SUPER HOLDINGS PTY. LTD.,2025-02-18,36406926.0,5.32,36406926.0,3DA,new,,,,
2025021902914754,PEGASUS GROWTH CAPITAL FUND I LP,2025-02-19,192124968.0,28.1,,3DA,change,192124968.0,31.24,,
2025022102915914,HOST-PLUS PTY LIMITED,2025-02-21,36406926.0,5.32,36406926.0,3DA,new,,,,
2025022402916358,MIRRABOOKA INVESTMENTS LIMITED,2025-02-24,28860476.0,7.58,,EGL,change,22208191.0,6.12,,
2025022402916593,TELSTRA SUPER PTY LTD AS TRUSTEE FOR TELSTRA SUPERANNUATION SCHEME,2025-02-24,3662463.0,6.62,,MXI,change,4242484.0,7.71,,
2025022502916888,PHOENIX PORTFOLIOS PTY LTD,2025-02-25,2203337.0,5.32,2203337.0,BOL,new,,,,
2025022502917258,SPHERIA ASSET MANAGEMENT PTY LTD,2025-02-25,5856894.0,10.59,,MXI,change,6435701.0,11.69,,
2025022502917207,MICHAEL KARL KORBER,2025-02-25,8611321.0,6.13,,XRF,change,10148683.0,7.58,,
2025030302920197,BLACK DIAMOND CAPITAL MANAGEMENT LLC,2025-03-03,210735380.0,40.65,,EHL,change,205532946.0,39.85,,
2025030402920874,ALLAN GRAY AUSTRALIA PTY LTD,2025-03-04,42071496.0,6.83,,SSM,change,52938113.0,8.59,,
2025030502921007,['THE CAPITAL GROUP COMPANIES INC',2025-03-05,0.0,0.0,,JLG,change,0.0,0.0,,
2025030602921860,FIL LIMITED,2025-03-06,33745059.0,6.43,,RDX,change,26295972.0,5.01,,
2025031002923012,MAYBANK SECURITIES PTE. LTD.,2025-03-10,10000000.0,7.18,10000000.0,MPW,new,,,,
2025031202923936,['YARRA CAPITAL MANAGEMENT LIMITED',2025-03-12,44466887.0,5.7,,RWC,change,53895906.0,6.82,,
2025031202924029,WILSON ASSET MANAGEMENT GROUP,2025-03-12,63449488.0,10.23,,ANG,change,56690440.0,9.14,,
