,Ticker,Company,Sector
311,BSX,BLACKSTONE MINERALS LIMITED,Materials
312,BWF,BLACKWALL LIMITED,Financial Services
313,BLZ,BLAZE MINERALS LIMITED,Energy
314,BB1,BLINKLAB LIMITED,Health Care Equipment & Services
315,XYZ,"BLOCK, INC.",Financial Services
316,BLU,BLUE ENERGY LIMITED.,Energy
317,BNL,BLUE STAR HELIUM LIMITED,Energy
318,BCT,BLUECHIIP LIMITED,Technology Hardware & Equipment
319,BSL,BLUESCOPE STEEL LIMITED,Materials
320,BS1,BLUESTONE PRIME 2024-1 TRUST,Not Applic
321,BLG,BLUGLASS LIMITED,Semiconductors & Semiconductor Equipment
322,BMG,BMG RESOURCES LIMITED,Materials
323,BBC,BNK BANKING CORPORATION LIMITED,Banks
324,BOA,BOA RESOURCES LTD,Materials
325,BML,BOAB METALS LIMITED,Materials
326,BOD,BOD SCIENCE LIMITED,Consumer Discretionary Distribution & Retail
327,BOL,BOOM LOGISTICS LIMITED,Capital Goods
328,BOE,BOSS ENERGY LTD,Energy
329,BTE,BOTALA ENERGY LTD,Energy
330,BOT,BOTANIX PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences"
331,BOC,BOUGAINVILLE COPPER LIMITED,Materials
332,BUY,BOUNTY OIL & GAS NL,Energy
333,BCB,BOWEN COKING COAL LIMITED,Materials
334,BP1,BP CAPITAL MARKETS P.L.C.,Not Applic
335,BPH,BPH ENERGY LTD,Financial Services
336,BP8,BPH GLOBAL LTD,"Pharmaceuticals, Biotechnology & Life Sciences"
337,BPM,BPM MINERALS LIMITED,Materials
338,BRN,BRAINCHIP HOLDINGS LTD,Software & Services
339,BXB,BRAMBLES LIMITED,Commercial & Professional Services
340,BVS,BRAVURA SOLUTIONS LIMITED.,Software & Services
341,BCM,BRAZILIAN CRITICAL MINERALS LIMITED,Materials
342,BRE,BRAZILIAN RARE EARTHS LIMITED,Materials
343,BTM,BREAKTHROUGH MINERALS LIMITED,Energy
344,BRG,BREVILLE GROUP LIMITED,Consumer Durables & Apparel
345,BKW,BRICKWORKS LIMITED,Materials
346,BGE,BRIDGE SAAS LIMITED,Software & Services
347,BTR,BRIGHTSTAR RESOURCES LIMITED,Materials
348,BBL,BRISBANE BRONCOS LIMITED,Media & Entertainment
349,BGP,BRISCOE GROUP AUSTRALASIA LIMITED,Consumer Discretionary Distribution & Retail
350,BCK,BROCKMAN MINING LIMITED,Materials
351,BRK,BROOKSIDE ENERGY LIMITED,Energy
352,BYH,BRYAH RESOURCES LIMITED,Materials
353,BSA,BSA LIMITED,Commercial & Professional Services
354,BFL,BSP FINANCIAL GROUP LIMITED,Banks
355,BTC,BTC HEALTH LTD,Not Applic
356,BUS,BUBALUS RESOURCES LIMITED,Materials
357,BUB,BUBS AUSTRALIA LIMITED,"Food, Beverage & Tobacco"
358,BNR,BULLETIN RESOURCES LIMITED,Materials
359,BDM,BURGUNDY DIAMOND MINES LIMITED,Materials
360,BUR,BURLEY MINERALS LTD,Materials
361,BRU,BURU ENERGY LIMITED,Energy
362,BTN,BUTN LIMITED,Financial Services
363,BUX,BUXTON RESOURCES LIMITED,Materials
364,BWP,BWP TRUST,Equity Real Estate Investment Trusts (REITs)
365,C29,C29 METALS LIMITED,Materials
366,CDM,CADENCE CAPITAL LIMITED,Not Applic
367,CDO,CADENCE OPPORTUNITIES FUND LIMITED.,Not Applic
368,CCM,CADOUX LIMITED,Materials
369,DXA,CAISSE FRANCAISE DE FINANCEMENT LOCAL,Not Applic
370,CXL,CALIX LIMITED,Materials
371,CMB,CAMBIUM BIO LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
372,CHL,CAMPLIFY HOLDINGS LIMITED,Transportation
373,CP8,CANADIAN PHOSPHATE LIMITED,Materials
374,CAN,CANN GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
375,CAE,CANNINDAH RESOURCES LIMITED,Materials
376,CBY,CANTERBURY RESOURCES LIMITED,Materials
377,CAY,CANYON RESOURCES LIMITED,Materials
378,CAG,CAPE RANGE LTD,Software & Services
379,CAA,CAPRAL LIMITED,Materials
380,CRS,CAPRICE RESOURCES LTD,Materials
381,CMM,CAPRICORN METALS LTD,Materials
382,CSC,CAPSTONE COPPER CORP.,Materials
383,CAQ,CAQ HOLDINGS LIMITED,Real Estate Management & Development
384,CAR,CAR GROUP LIMITED,Media & Entertainment
385,CVV,CARAVEL MINERALS LIMITED,Materials
386,CWX,CARAWINE RESOURCES LIMITED,Materials
387,CRB,CARBINE RESOURCES LIMITED,Materials
388,CG1,CARBONXT GROUP LIMITED,Materials
389,CDX,CARDIEX LIMITED,Health Care Equipment & Services
390,CTQ,CARETEQ LIMITED,Health Care Equipment & Services
391,CDP,CARINDALE PROPERTY TRUST,Equity Real Estate Investment Trusts (REITs)
392,CIN,CARLTON INVESTMENTS LIMITED,Not Applic
393,CNB,CARNABY RESOURCES LIMITED,Materials
394,CVN,CARNARVON ENERGY LIMITED,Energy
395,CAV,CARNAVALE RESOURCES LIMITED,Materials
396,CCE,CARNEGIE CLEAN ENERGY LIMITED,Utilities
397,CCV,CASH CONVERTERS INTERNATIONAL,Financial Services
398,CPN,CASPIN RESOURCES LIMITED,Materials
399,CMD,CASSIUS MINING LIMITED,Materials
400,CST,CASTILE RESOURCES LTD,Materials
401,CDT,CASTLE MINERALS LIMITED,Materials
402,CTN,CATALINA RESOURCES LTD,Materials
403,CYL,CATALYST METALS LIMITED,Materials
404,CAT,CATAPULT GROUP INTERNATIONAL LTD,Software & Services
405,CXU,CAULDRON ENERGY LIMITED,Energy
406,CVR,CAVALIER RESOURCES LIMITED,Materials
407,CAZ,CAZALY RESOURCES LIMITED,Materials
